Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Algeria,DZA,2022,0.0,,1.7774663,0.027374918,0.20017584,0.0,442.74997,1.4969789,238.61775
Angola,AGO,2022,,,,,,0.0,,,
Argentina,ARG,2022,7.472752,13.931288,7.658984,36.92865,62.283165,18.686522,456.82983,14.398857,382.78323
Australia,AUS,2022,10.361164,1.3312569,101.26366,82.522026,44.642174,0.0,416.2641,430.7635,574.04034
Austria,AUT,2022,14.990222,4.775016,8.391033,18.889414,92.646835,0.0,79.12825,28.291656,134.47852
Azerbaijan,AZE,2022,0.32767972,,0.15877444,0.21717444,4.1578584,0.0,121.01472,0.0015555555,68.31462
Bahrain,BHR,2022,,,,,,0.0,,,
Bangladesh,BGD,2022,0.012288249,,1.7145659,0.01324686,2.0205986,0.0,291.9801,49.94223,152.81989
Belarus,BLR,2022,0.83854747,0.0,0.74311584,0.47971362,0.8942472,11.733422,184.62439,10.721621,86.813835
Belgium,BEL,2022,14.243444,8.970747,17.65261,31.04347,0.82290024,109.40878,145.53444,31.991251,320.9896
Bolivia,BOL,2022,,,,,,0.0,,,
Brazil,BRA,2022,168.46057,241.95108,78.54375,212.8245,1113.5426,36.423683,319.7619,162.66177,1390.6998
Brunei,BRN,2022,,,,,,0.0,,,
Bulgaria,BGR,2022,7.1145124,3.2159445,5.223541,3.9064748,9.8225155,41.152412,27.0345,72.74707,61.559875
Canada,CAN,2022,27.197453,23.494785,15.6783495,97.83473,1038.782,216.76048,1216.2826,107.23305,1185.2417
Chad,TCD,2022,,,,,,0.0,,,
Chile,CHL,2022,19.564188,,37.69042,24.41743,58.003117,0.0,74.59519,61.168365,221.37302
China,CHN,2022,563.745,27.87439,1115.1132,1988.4497,3397.4243,1045.2504,3757.0474,24559.486,7821.5244
Colombia,COL,2022,9.274501,9.490787,1.31032,0.19522221,167.73596,0.0,125.85035,28.492508,266.99402
Congo,COG,2022,,,,,,0.0,,,
Croatia,HRV,2022,3.8132799,1.1046788,0.4209197,5.9938273,14.132496,0.0,24.369545,4.7832775,39.967175
Cuba,CUB,2022,,,,,,0.0,,,
Curacao,CUW,2022,,,,,,0.0,,,
Cyprus,CYP,2022,0.12434916,0.2566361,1.6706963,0.58469164,,0.0,,0.3808161,28.720387
Czechia,CZE,2022,17.368568,3.9893887,5.9847517,1.6720064,5.4566164,77.61024,73.764496,163.59177,114.83884
Democratic Republic of Congo,COD,2022,,,,,,0.0,,,
Denmark,DNK,2022,23.934357,2.9534056,5.055607,49.540455,0.038200554,0.0,16.985794,11.995051,78.893745
Ecuador,ECU,2022,1.2439064,0.17959584,0.10037472,0.15799223,64.22718,0.0,5.497367,0.79980165,146.51048
Egypt,EGY,2022,0.0,,13.101806,13.409331,35.967506,0.0,607.4758,14.265933,421.2479
Equatorial Guinea,GNQ,2022,,,,,,0.0,,,
Estonia,EST,2022,5.602468,0.48247665,1.5440466,1.7236431,0.061111663,0.0,3.621307,34.026913,14.606459
Finland,FIN,2022,44.665688,13.63936,0.8207094,31.0348,35.616962,63.147774,10.825556,33.928883,93.03671
France,FRA,2022,31.36681,41.439148,52.484104,99.09144,116.24238,737.35693,383.71768,59.457893,808.74945
Gabon,GAB,2022,,,,,,0.0,,,
Germany,DEU,2022,160.80095,34.682938,158.4799,326.6401,45.62486,86.81232,772.8999,647.22217,1183.1235
Greece,GRC,2022,1.6170915,2.3262756,18.649336,28.364248,11.863254,0.0,61.967,20.013203,171.01018
Hong Kong,HKG,2022,0.2843786,0.4111111,0.1361836,0.0026749193,0.0,0.0,45.14507,41.76583,130.57237
Hungary,HUN,2022,6.584491,3.4875426,12.121247,1.5760597,0.45936668,39.559464,91.7925,13.812908,96.33963
