,name,lat,long,irr_data
0,Andorra,42.5,1.5,97.76498687813785
1,United Arab Emirates,24.0,54.0,182.1275317587099
2,Afghanistan,33.0,65.0,168.32472615244183
3,Antigua and Barbuda,17.05,-61.8,143.42054617374106
4,Albania,41.0,20.0,116.9270854252244
5,Armenia,40.0,45.0,85.63103149246919
6,Angola,-12.5,18.5,153.19800832952987
7,Argentina,-27.98,-57.9,127.11309428723564
8,Austria,47.33,13.33,55.31655047162634
9,Australia,-25.528460213639672,114.75914403658425,193.67342176327398
10,Aruba,12.5,-69.97,177.56072493534154
11,Azerbaijan,40.5,47.5,105.11085197018105
12,Bosnia and Herzegovina,44.0,18.0,78.87800604746691
13,Barbados,13.17,-59.53,157.07806861402707
14,Bangladesh,24.0,90.0,109.67147896698617
15,Belgium,50.83,4.0,60.24150083675643
16,Burkina Faso,13.0,-2.0,175.94936748820933
17,Bulgaria,43.0,25.0,87.81472995588013
18,Bahrain,26.0,50.55,164.63270994979462
19,Burundi,-3.5,30.0,122.70119389928496
20,Benin,9.5,2.25,140.71278202495054
21,Brunei Darussalam,4.5,114.67,105.22979841776967
22,Bolivia,-17.0,-65.0,100.56075289061312
23,Brazil,-10.0,-55.0,136.49217480602465
24,Bhutan,27.5,90.5,53.403198121101475
25,Botswana,-22.0,24.0,184.80923303666515
26,Belarus,53.0,28.0,60.505885630610074
27,Belize,17.25,-88.75,119.65925794918604
28,Canada,52.1886,-90.9584,78.82839913281606
29,"Congo, The Democratic Republic of the",0.0,25.0,107.10501426289366
30,Central African Republic,7.0,21.0,148.65809942187738
31,Congo,-1.0,15.0,115.24077685227445
32,Switzerland,47.0,8.0,53.09685607789441
33,Cote d'Ivoire,8.0,-5.0,119.77750456412599
34,Chile,-18.3243,-69.3997,220.10067016582988
35,Cameroon,6.0,12.0,137.36965350677013
36,China,35.0,105.0,80.08176194279629
37,Colombia,4.0,-72.0,110.22281188194127
38,Costa Rica,10.0,-84.0,90.91751331203409
39,Cuba,22.0,-79.6,140.29527460824585
40,Cape Verde,15.0779,-23.609,136.4980096607333
41,Christmas Island,-10.5,105.67,139.82765708200213
42,Cyprus,35.0,33.0,114.62939620416857
43,Czech Republic,49.75,15.5,61.229190438156095
44,Germany,51.0,9.0,57.2397816826411
45,Djibouti,11.5,43.0,160.49713658146965
46,Denmark,56.0,10.0,55.246173550890006
47,Dominica,15.42,-61.33,113.10822284345048
48,Dominican Republic,19.0,-70.67,145.0596850753081
