"Country/area",Technology,Data Type,Grid connection,Year,Electricity statistics
"Afghanistan",Solar photovoltaic,Electricity Generation (GWh),All,2021,78.7860
"Albania",Solar photovoltaic,Electricity Generation (GWh),All,2021,40.7700
"Algeria",Solar photovoltaic,Electricity Generation (GWh),All,2021,642.0000
"American Samoa",Solar photovoltaic,Electricity Generation (GWh),All,2021,6.8310
"Andorra",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.2590
"Angola",Solar photovoltaic,Electricity Generation (GWh),All,2021,2.0690
"Anguilla",Solar photovoltaic,Electricity Generation (GWh),All,2021,2.6830
"Antigua and Barbuda",Solar photovoltaic,Electricity Generation (GWh),All,2021,20.2510
"Argentina",Solar photovoltaic,Electricity Generation (GWh),All,2021,2203.8690
"Armenia",Solar photovoltaic,Electricity Generation (GWh),All,2021,163.5000
"Aruba",Solar photovoltaic,Electricity Generation (GWh),All,2021,23.8820
"Australia",Solar photovoltaic,Electricity Generation (GWh),All,2021,27712.0000
"Austria",Solar photovoltaic,Electricity Generation (GWh),All,2021,2782.6020
"Azerbaijan",Solar photovoltaic,Electricity Generation (GWh),All,2021,55.2000
"Bahamas (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,7.6710
"Bahrain",Solar photovoltaic,Electricity Generation (GWh),All,2021,11.6390
"Bangladesh",Solar photovoltaic,Electricity Generation (GWh),All,2021,612.6850
"Barbados",Solar photovoltaic,Electricity Generation (GWh),All,2021,87.8630
"Belarus",Solar photovoltaic,Electricity Generation (GWh),All,2021,173.8000
"Belgium",Solar photovoltaic,Electricity Generation (GWh),All,2021,5618.1000
"Belize",Solar photovoltaic,Electricity Generation (GWh),All,2021,9.7790
"Benin",Solar photovoltaic,Electricity Generation (GWh),All,2021,2.8370
"Bhutan",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.4800
"Bolivia (Plurinational State of)",Solar photovoltaic,Electricity Generation (GWh),All,2021,350.5310
"Bonaire, Sint Eustatius and Saba",Solar photovoltaic,Electricity Generation (GWh),All,2021,8.9410
"Bosnia and Herzegovina",Solar photovoltaic,Electricity Generation (GWh),All,2021,72.0000
"Botswana",Solar photovoltaic,Electricity Generation (GWh),All,2021,6.1280
"Brazil",Solar photovoltaic,Electricity Generation (GWh),All,2021,16760.8290
"British Virgin Islands",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.8530
"Brunei Darussalam",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.1210
"Bulgaria",Solar photovoltaic,Electricity Generation (GWh),All,2021,1466.5980
"Burkina Faso",Solar photovoltaic,Electricity Generation (GWh),All,2021,97.6000
"Burundi",Solar photovoltaic,Electricity Generation (GWh),All,2021,2.3340
"Cabo Verde",Solar photovoltaic,Electricity Generation (GWh),All,2021,6.8840
"Cambodia",Solar photovoltaic,Electricity Generation (GWh),All,2021,637.2270
"Cameroon",Solar photovoltaic,Electricity Generation (GWh),All,2021,19.6720
"Canada",Solar photovoltaic,Electricity Generation (GWh),All,2021,6043.0000
"Cayman Islands",Solar photovoltaic,Electricity Generation (GWh),All,2021,21.5470
"Central African Republic (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.4260
"Chad",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.2610
