"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Afghanistan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Albania","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Algeria","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"American Samoa","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Andorra","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Angola","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Anguilla","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Antigua and Barbuda","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Argentina","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Armenia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Aruba","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Australia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Austria","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Azerbaijan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bahamas (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bahrain","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bangladesh","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Barbados","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Belarus","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Belgium","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Belize","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Benin","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bhutan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bolivia (Plurinational State of)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bonaire, Sint Eustatius and Saba","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bosnia and Herzegovina","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Botswana","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Brazil","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"British Virgin Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Brunei Darussalam","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Bulgaria","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Burkina Faso","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Burundi","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cabo Verde","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cambodia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cameroon","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Canada","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cayman Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Central African Republic (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Chad","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Chile","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"China","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"China, Hong Kong Special Administrative Region","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Chinese Taipei","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Colombia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",219.6340
"Comoros (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Congo (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cook Islands (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Costa Rica","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"C�te d'Ivoire","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Croatia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cuba","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cura�ao","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Cyprus","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Czechia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Democratic People's Republic of Korea (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Democratic Republic of the Congo (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Denmark","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Djibouti","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Dominica","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Dominican Republic (the)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Ecuador","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Egypt","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"El Salvador","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Equatorial Guinea","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Eritrea","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Estonia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Eswatini","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Ethiopia","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Falkland Islands (Malvinas)","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
"Faroe Islands","Mixed Hydro Plants","Electricity Generation (GWh)","All","2021",0.0000
