Country,Code (alpha-3),Renewable energy production (%),Renewable hydropower (GWh),Renewable municipal waste (GWh),Geothermal energy (GWh),Natural gas (GWh),Nuclear (GWh),Other non-renewable energy (GWh),Wind energy (GWh),Solar Energy (GWh),Biofuels (GWh),Fossil fuels and peat (GWh)
Afghanistan,AFG,79.48,849.791,0.0,0.0,0.0,0.0,0.0,0.123,78.786,0.0,257.78
Åland Islands,ALA,,,,,,,,,,,
Albania,ALB,100.0,8921.94,0.0,0.0,0.0,0.0,0.0,0.0,40.77,0.0,0.0
Algeria,DZA,0.91,9.0,0.0,0.0,84452.0,0.0,0.0,11.0,760.11,0.0,277.0
American Samoa,ASM,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.831,0.0,169.541
Andorra,AND,93.34,78.827,16.897,0.0,6.923,0.0,0.0,0.0,1.259,0.0,0.0
Angola,AGO,73.7,13801.672,0.0,0.0,58.081,0.0,0.0,0.0,2.069,200.0,4938.083
Anguilla,AIA,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.683,0.0,105.812
Antarctica,ATA,,,,,,,,,,,
Antigua and Barbuda,ATG,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.251,0.0,337.791
Argentina,ARG,26.74,20148.871,0.0,0.0,84548.497,10830.724,0.0,12937.55,2203.869,3825.663,9157.079000000002
Armenia,ARM,30.54,2201.7,0.0,0.0,3383.7,1998.4,0.0,1.5,163.5,0.0,0.0
Aruba,ABW,14.8,0.0,0.0,0.0,0.0,0.0,0.0,133.054,23.882,0.0,903.612
Australia,AUS,26.5,15200.0,0.0,0.0,49783.0,0.0,0.0,24535.0,27717.0,3347.0,144973.0
Austria,AUT,74.56,42539.793000000005,354.487,0.031,10617.882,0.0,725.518,6740.042,2782.602,4125.170999999999,2866.768
Azerbaijan,AZE,5.8,1277.3,193.2,0.0,25635.8,0.0,0.0,91.4,55.2,0.0,634.9
Bahamas,BHS,0.48,,,,,,,,,,
Bahrain,BHR,0.04,0.0,0.0,0.0,33363.962,0.0,0.0,1.2,11.639,0.0,0.0
Bangladesh,BGD,1.81,734.421,0.0,0.0,50152.218,0.0,0.0,5.081,612.685,3.8600000000000003,39903.93
Barbados,BRB,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.056,87.863,0.0,1112.338
Belarus,BLR,3.37,370.0,0.0,0.0,34686.0,338.0,14.0,173.0,173.8,580.8,2163.0
Belgium,BEL,22.62,1349.8000000000002,936.6,0.0,22516.7,50326.2,1757.2,11997.599999999999,5618.1,3754.3,2208.9
Belize,BLZ,92.86,157.326,0.0,0.0,0.0,0.0,0.0,0.035,9.779,270.239,33.627
Benin,BEN,0.22,0.072,0.0,0.0,1015.731,0.0,0.0,0.0,2.837,0.0,324.565
Bermuda,BMU,,,,,,,,,,,
Bhutan,BTN,100.0,10822.292,0.0,0.0,0.0,0.0,0.0,0.389,0.48,0.0,0.001
Bolivia (Plurinational State of),BOL,38.25,3236.829,0.0,0.0,6039.012,0.0,0.0,119.623,350.531,454.798,678.665
"Bonaire, Sint Eustatius and Saba",BES,24.14,0.0,0.0,0.0,0.0,0.0,0.0,28.759,8.941,0.0,118.5
Bosnia and Herzegovina,BIH,38.77,6796.0,0.0,0.0,5.0,0.0,0.0,382.0,72.0,42.0,11239.0
Botswana,BWA,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.128,0.0,2579.5
Bouvet Island,BVT,,,,,,,,,,,
Brazil,BRA,77.37,362818.495,77.33,0.0,86958.0,14705.0,7369.0,72285.975,16760.829,55723.998999999996,39497.0
British Indian Ocean Territory,IOT,,,,,,,,,,,
Brunei Darussalam,BRN,0.03,0.0,0.0,0.0,4401.561,0.0,0.0,0.0,1.121,0.0,48.884
Bulgaria,BGR,21.67,5067.133,0.0,0.0,3045.672,16486.894,35.303,1433.561,1466.598,2588.8920000000003,17444.042999999998
Burkina Faso,BFA,27.37,135.016,0.0,0.0,0.0,0.0,0.0,0.0,97.6,1.3,620.6
Burundi,BDI,61.3,270.291,0.0,0.0,0.0,0.0,0.0,0.0,2.334,5.548,175.59
Cabo Verde,CPV,18.27,0.0,0.0,0.0,0.0,0.0,0.0,73.784,6.884,0.0,360.98
Cambodia,KHM,58.95,5043.94,0.0,0.0,0.0,0.0,0.0,0.3,637.227,75.47,4009.24
Cameroon,CMR,79.27,5089.9,0.0,0.0,1016.689,0.0,0.0,0.0,19.672,0.0,319.4638
Canada,CAN,67.45,382867.0,169.0,0.0,77279.0,92629.0,546.0,34753.0,6043.0,9959.0,38729.0
Cayman Islands,CYM,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.547,0.0,711.614
Central African Republic,CAF,96.47,,,,,,,,,,
Chad,TCD,5.59,0.0,0.0,0.0,225.64,0.0,0.0,8.9,1.261,9.111,100.0
Chile,CHL,48.89,18072.273,0.0,325.519,15488.217,0.0,0.0,7628.098,10683.922,5611.169,28749.223
China,CHN,28.18,1340106.5,45900.0,143.5,251000.0,407500.0,45900.0,656205.143,327551.088,71900.0,4967300.0
Christmas Island,CXR,,0.0,,,,,,,,,
Cocos (Keeling) Islands,CCK,,0.0,,,,,,,,,
Colombia,COL,75.38,60716.674999999996,0.0,0.0,12288.483,0.0,0.0,60.0,529.525,1839.049,8333.184
Comoros,COM,0.0,,,,,,,,,,
Congo,COG,40.66,,,,,,,,,,
"Congo, Democratic Republic of the",COD,,,,,,,,,,,
Cook Islands,COK,21.14,,,,,,,,,,
Costa Rica,CRI,99.98,9287.359,0.0,1601.729,0.0,0.0,0.0,1573.311,107.394,86.553,2.86
Côte d'Ivoire,CIV,,,,,,,,,,,
Croatia,HRV,69.22,7228.7,0.0,89.7,3095.5,0.0,0.0,2061.8,148.9,1099.8,1486.0
Cuba,CUB,5.12,123.029,0.0,0.0,1580.4,0.0,320.2,43.5,218.077,541.819,15277.442
Curaçao,CUW,,,,,,,,,,,
Cyprus,CYP,15.13,0.0,0.0,0.0,0.0,0.0,0.0,246.478,468.338,59.94,4344.667
Czechia,CZE,12.59,3619.924,127.29,0.0,7291.373,30731.18,237.347,601.534,2315.964,5257.371999999999,34899.796
Denmark,DNK,78.96,16.294,971.05,0.0,1536.049,0.0,794.495,16054.467,1308.929,7745.169,4622.33
Djibouti,DJI,35.35,0.0,0.0,0.0,0.0,0.0,0.0,69.4,0.6,0.0,128.0
Dominica,DMA,20.28,19.822,0.0,0.0,0.0,0.0,0.0,0.595,0.178,0.0,80.94
Dominican Republic,DOM,16.96,,,,,,,,,,
Ecuador,ECU,81.0,25562.889,0.0,0.0,983.6273,0.0,0.0,62.011,36.87,414.929,5134.8307
Egypt,EGY,12.33,14769.0,0.0,0.0,170022.026,0.0,0.0,5269.445,4972.5,277.211,9749.374
El Salvador,SLV,86.01,1825.204,0.0,1559.104,0.0,0.0,0.0,131.785,1643.19,903.965,986.484
Equatorial Guinea,GNQ,11.95,127.0,0.0,0.0,533.573,0.0,0.0,0.0,0.225,0.0,403.501
